,w1,w2,path similarity,lch,wup,normalizada:,GED,hyp,GED1,GED2
0,man,woman,0.3333333333333333,2.538973871058276,0.6666666666666666,0.8333333333333334,1,Synset('adult.n.01'),2,2
1,father,mother,0.3333333333333333,2.538973871058276,0.9230769230769231,0.9,1,Synset('parent.n.01'),2,2
2,boy,girl,0.2,2.0281482472922856,0.6,0.7142857142857143,2,Synset('adult.n.01'),2,2
3,uncle,aunt,0.2,2.0281482472922856,0.6,0.7142857142857143,2,Synset('relative.n.01'),3,3
4,husband,wife,0.3333333333333333,2.538973871058276,0.6,0.8571428571428572,1,Synset('spouse.n.01'),1,1
5,actor,actress,0.16666666666666666,1.845826690498331,0.631578947368421,0.5,4,Synset('person.n.01'),1,4
6,prince,princess,0.3333333333333333,2.538973871058276,0.9,0.8571428571428572,1,Synset('aristocrat.n.01'),1,1
7,waiter,waitress,0.14285714285714285,1.6916760106710724,0.6,0.4444444444444444,5,Synset('person.n.01'),1,5
8,stallion,mare,0.25,2.2512917986064953,0.9090909090909091,0.8823529411764706,2,Synset('horse.n.01'),3,2
9,bachelor,spinster,0.16666666666666666,1.845826690498331,0.5714285714285714,0.625,3,Synset('adult.n.01'),2,3
10,brother,sister,0.3333333333333333,2.538973871058276,0.9090909090909091,0.875,1,Synset('member.n.01'),2,2
11,conductor,conductress,0.1111111111111111,1.4403615823901665,0.5454545454545454,0.5,4,Synset('person.n.01'),5,5
12,count,countess,0.14285714285714285,1.6916760106710724,0.75,0.6666666666666667,3,Synset('aristocrat.n.01'),3,3
13,czar,czarina,0.125,1.55814461804655,0.5714285714285714,0.4,6,Synset('person.n.01'),6,4
14,dad,mum,0.058823529411764705,0.8043728156701697,0.1111111111111111,0.09090909090909094,10,Synset('entity.n.01'),10,6
15,duke,duchess,0.14285714285714285,1.6916760106710724,0.75,0.6666666666666667,3,Synset('aristocrat.n.01'),3,3
16,emperor,empress,0.07142857142857142,0.9985288301111273,0.48,0.4285714285714286,8,Synset('organism.n.01'),8,8
17,god,goddess,0.25,2.2512917986064953,0.8235294117647058,0.7777777777777778,2,Synset('spiritual_being.n.01'),2,3
18,heir,heiress,0.5,2.9444389791664407,0.9523809523809523,0.875,1,Synset('heir.n.01'),0,1
19,hero,heroine,0.3333333333333333,2.538973871058276,0.9230769230769231,0.9,1,Synset('character.n.04'),2,2
20,host,hostess,0.16666666666666666,1.845826690498331,0.7058823529411765,0.6,4,Synset('organism.n.01'),2,5
21,king,queen,0.3333333333333333,2.538973871058276,0.9090909090909091,0.9,1,Synset('face_card.n.01'),2,2
22,master,mistress,0.3333333333333333,2.538973871058276,0.9,0.8571428571428572,1,Synset('employer.n.01'),2,2
23,murderer,murderess,0.5,2.9444389791664407,0.88,0.9,1,Synset('murderer.n.01'),0,1
24,nephew,niece,0.2,2.0281482472922856,0.6,0.7142857142857143,2,Synset('relative.n.01'),2,2
25,poet,poetess,0.5,2.9444389791664407,0.9523809523809523,0.875,1,Synset('poet.n.01'),0,1
26,sir,madam,0.125,1.55814461804655,0.5714285714285714,0.5,4,Synset('person.n.01'),3,4
27,son,daughter,0.2,2.0281482472922856,0.8333333333333334,0.7777777777777778,2,Synset('child.n.02'),3,3
28,buck,doe,0.3333333333333333,2.538973871058276,0.9166666666666666,0.9166666666666666,1,Synset('placental.n.01'),1,1
29,ram,ewe,0.3333333333333333,2.538973871058276,0.9411764705882353,0.9411764705882353,1,Synset('sheep.n.01'),1,1
30,boar,sow,0.3333333333333333,2.538973871058276,0.9333333333333333,0.9333333333333333,1,Synset('swine.n.01'),1,1
31,drake,duck,0.5,2.9444389791664407,0.9655172413793104,0.9333333333333333,1,Synset('duck.n.01'),2,1
32,bull,cow,0.3333333333333333,2.538973871058276,0.9444444444444444,0.9444444444444444,1,Synset('cattle.n.01'),2,2
33,gander,goose,0.5,2.9444389791664407,0.9655172413793104,0.9333333333333333,1,Synset('goose.n.01'),2,1
34,fox,vixen,0.14285714285714285,1.6916760106710724,0.6,0.5,4,Synset('person.n.01'),3,5
35,tiger,tigress,0.07692307692307693,1.072636802264849,0.5,0.375,10,Synset('organism.n.01'),3,10
36,lion,lioness,0.0625,0.8649974374866046,0.4444444444444444,0.375,10,Synset('organism.n.01'),5,10
37,gentleman,lady,0.2,2.0281482472922856,0.6,0.7142857142857143,2,Synset('adult.n.01'),3,3
38,headmaster,headmistress,0.3333333333333333,2.538973871058276,0.9166666666666666,0.8888888888888888,1,Synset('principal.n.02'),1,1
39,landlord,landlady,0.5,2.9444389791664407,0.9565217391304348,0.8888888888888888,1,Synset('landlord.n.01'),0,1
40,lord,lady,0.2,2.0281482472922856,0.8181818181818182,0.75,2,Synset('aristocrat.n.01'),2,2
41,monk,nun,0.3333333333333333,2.538973871058276,0.6,0.8571428571428572,1,Synset('religious.n.01'),2,2
42,steward,stewardess,0.125,1.55814461804655,0.5714285714285714,0.4444444444444444,5,Synset('person.n.01'),3,5
43,widower,widow,0.2,2.0281482472922856,0.6,0.7142857142857143,2,Synset('adult.n.01'),2,2
